"No.","Time","Source","Destination","Protocol","Length","Info"
"14838","7.690733954","172.17.0.2","172.17.0.1","TCP","104","8443  >  55694 [PSH, ACK] Seq=35570 Ack=1612 Win=32128 Len=38 TSval=1405835173 TSecr=4266363478"
"14839","7.690845875","172.17.0.2","172.17.0.1","TCP","1514","8443  >  55694 [ACK] Seq=35608 Ack=1612 Win=32128 Len=1448 TSval=1405835173 TSecr=4266363478"
"14840","7.690850205","172.17.0.1","172.17.0.2","TCP","66","55694  >  8443 [ACK] Seq=1612 Ack=37056 Win=110336 Len=0 TSval=4266363478 TSecr=1405835173"
"14841","7.690846056","172.17.0.2","172.17.0.1","TCP","1514","8443  >  55694 [ACK] Seq=37056 Ack=1612 Win=32128 Len=1448 TSval=1405835173 TSecr=4266363478"
"14842","7.690846156","172.17.0.2","172.17.0.1","TCP","1514","8443  >  55694 [ACK] Seq=38504 Ack=1612 Win=32128 Len=1448 TSval=1405835173 TSecr=4266363478"
"14843","7.690857151","172.17.0.1","172.17.0.2","TCP","66","55694  >  8443 [ACK] Seq=1612 Ack=39952 Win=116096 Len=0 TSval=4266363478 TSecr=1405835173"
"14844","7.690846254","172.17.0.2","172.17.0.1","TCP","1514","8443  >  55694 [ACK] Seq=39952 Ack=1612 Win=32128 Len=1448 TSval=1405835173 TSecr=4266363478"
"14845","7.690846360","172.17.0.2","172.17.0.1","TCP","1514","8443  >  55694 [ACK] Seq=41400 Ack=1612 Win=32128 Len=1448 TSval=1405835173 TSecr=4266363478"
"14846","7.690862082","172.17.0.1","172.17.0.2","TCP","66","55694  >  8443 [ACK] Seq=1612 Ack=42848 Win=121984 Len=0 TSval=4266363478 TSecr=1405835173"
"14847","7.690846479","172.17.0.2","172.17.0.1","TCP","1047","8443  >  55694 [PSH, ACK] Seq=42848 Ack=1612 Win=32128 Len=981 TSval=1405835173 TSecr=4266363478"
"14848","7.690875567","172.17.0.2","172.17.0.1","TCP","104","8443  >  55694 [PSH, ACK] Seq=43829 Ack=1612 Win=32128 Len=38 TSval=1405835173 TSecr=4266363478"
